tdtfile,medfile,rat,session,box,dietgroup,date,bottleL,bottleR,licksL,licksR,Totallicks,missedtrials,intakeL,intakeR,sig-blue,sig-uv,ttl-trialL,ttl-trialR,ttl-lickL,ttl-lickR,include-mat,include-py,endcol
Giulia-180711-112310,!2018-07-11_11h03m.Subject PPP3.5,PPP3.5,s3,1.0,NR,11072018.0,saccharin,saccharin,562.0,564.0,1126.0,8.0,4.0,3.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180711-112310,!2018-07-11_11h03m.Subject PPP3.6,PPP3.6,s3,2.0,NR,11072018.0,saccharin,saccharin,353.0,539.0,892.0,12.0,2.0,2.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180711-101849,!2018-07-11_10h07m.Subject PPP3.7,PPP3.7,s3,1.0,NR,11072018.0,saccharin,saccharin,253.0,63.0,316.0,39.0,6.0,3.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180711-101849,!2018-07-11_10h07m.Subject PPP3.8,PPP3.8,s3,2.0,PR,11072018.0,saccharin,saccharin,647.0,715.0,1362.0,5.0,7.0,7.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180712-105702 and Giulia-180712-113737,!2018-07-12_10h49m.Subject PPP3.1,PPP3.1,s4,2.0,NR,12072018.0,saccharin,saccharin,593.0,536.0,1129.0,9.0,5.0,5.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180712-105702 and Giulia-180712-113737,!2018-07-12_10h49m.Subject PPP3.2,PPP3.2,s4,1.0,NR,12072018.0,saccharin,saccharin,29.0,37.0,66.0,35.0,1.0,2.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180712-100537,!2018-07-12_09h56m.Subject PPP3.3,PPP3.3,s4,1.0,PR,12072018.0,saccharin,saccharin,2.0,4.0,6.0,39.0,1.0,2.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180712-100537,!2018-07-12_09h56m.Subject PPP3.4,PPP3.4,s4,2.0,PR,12072018.0,saccharin,saccharin,475.0,613.0,1088.0,9.0,14.0,12.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180712-081742,!2018-07-12_07h32m.Subject PPP3.5,PPP3.5,s4,2.0,NR,12072018.0,saccharin,saccharin,608.0,517.0,1125.0,12.0,4.0,,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180712-081742,!2018-07-12_07h32m.Subject PPP3.6,PPP3.6,s4,1.0,NR,12072018.0,saccharin,saccharin,552.0,595.0,1147.0,14.0,2.0,4.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180712-090855,!2018-07-12_08h59m.Subject PPP3.7,PPP3.7,s4,2.0,NR,12072018.0,saccharin,saccharin,517.0,2025.0,2542.0,39.0,3.0,7.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180712-090855,!2018-07-12_08h59m.Subject PPP3.8,PPP3.8,s4,1.0,PR,12072018.0,saccharin,saccharin,514.0,627.0,1141.0,10.0,6.0,5.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180713-114048,!2018-07-12_10h49m.Subject PPP3.1,PPP3.1,s5,1.0,NR,13072018.0,saccharin,saccharin,708.0,783.0,1491.0,4.0,7.0,7.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180713-114048,!2018-07-13_11h32m.Subject PPP3.2,PPP3.2,s5,2.0,NR,13072018.0,saccharin,saccharin,48.0,577.0,625.0,40.0,3.0,4.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180713-105348,!2018-07-13_10h44m.Subject PPP3.3,PPP3.3,s5,2.0,PR,13072018.0,saccharin,saccharin,499.0,401.0,900.0,19.0,5.0,3.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180713-105348,!2018-07-13_10h44m.Subject PPP3.4,PPP3.4,s5,1.0,PR,13072018.0,saccharin,saccharin,578.0,747.0,1325.0,2.0,5.0,6.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180713-101407,!2018-07-13_09h53m.Subject PPP3.5,PPP3.5,s5,1.0,NR,13072018.0,saccharin,saccharin,532.0,526.0,1058.0,12.0,5.0,6.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180713-101407,!2018-07-13_10h04m.Subject PPP3.6,PPP3.6,s5,2.0,NR,13072018.0,saccharin,saccharin,539.0,468.0,1007.0,12.0,4.0,3.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180713-092417,!2018-07-13_08h53m.Subject PPP3.7,PPP3.7,s5,2.0,NR,13072018.0,saccharin,saccharin,,,0.0,,5.0,6.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180713-092417,!2018-07-13_08h52m.Subject PPP3.8,PPP3.8,s5,1.0,PR,13072018.0,saccharin,saccharin,538.0,760.0,1298.0,7.0,5.0,5.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180716-115500,!2018-07-16_11h42m.Subject PPP3.1,PPP3.1,s6,1.0,NR,16072018.0,caseinGR,empty,1563.0,0.0,1563.0,0.0,19.0,0.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Giulia-180716-115500,!2018-07-16_11h42m.Subject PPP3.2,PPP3.2,s6,2.0,NR,16072018.0,empty,caseinGR,0.0,1424.0,1424.0,10.0,0.0,12.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180716-111020,!2018-07-16_10h58m.Subject PPP3.3,PPP3.3,s6,1.0,PR,16072018.0,caseinGR,empty,1992.0,0.0,1992.0,1.0,15.0,0.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180716-111020,!2018-07-16_10h58m.Subject PPP3.4,PPP3.4,s6,2.0,PR,16072018.0,empty,caseinGR,0.0,2219.0,2219.0,0.0,0.0,13.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180716-102524,!2018-07-16_10h05m.Subject PPP3.5,PPP3.5,s6,2.0,NR,16072018.0,maltodextrinGR,empty,2514.0,0.0,2514.0,2.0,15.0,0.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180716-102524,!2018-07-16_10h05m.Subject PPP3.6,PPP3.6,s6,1.0,NR,16072018.0,empty,maltodextrinGR,0.0,2381.0,2381.0,3.0,0.0,13.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180716-092202,!2018-07-16_08h49m.Subject PPP3.7,PPP3.7,s6,2.0,NR,16072018.0,caseinGR,empty,1964.0,0.0,1964.0,29.0,7.0,0.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180716-092202,!2018-07-16_08h49m.Subject PPP3.8,PPP3.8,s6,1.0,PR,16072018.0,maltodextrinGR,empty,2493.0,0.0,2493.0,0.0,21.0,0.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180717-101149,!2018-07-17_10h01m.Subject PPP3.1,PPP3.1,s7,1.0,NR,17072018.0,empty,maltoCH,0.0,2683.0,2683.0,1.0,0.0,21.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180717-105037,!2018-07-17_10h40m.Subject PPP3.2,PPP3.2,s7,2.0,NR,17072018.0,maltoCH,empty,1228.0,0.0,1228.0,22.0,8.0,0.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180717-114153,!2018-07-17_11h10m.Subject PPP3.3,PPP3.3,s7,1.0,PR,17072018.0,empty,maltoCH,0.0,1593.0,1593.0,9.0,0.0,12.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180717-114153,!2018-07-17_11h24m.Subject PPP3.4,PPP3.4,s7,2.0,PR,17072018.0,maltoCH,empty,2346.0,0.0,2346.0,1.0,15.0,0.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180717-122933,!2018-07-17_12h19m.Subject PPP3.5,PPP3.5,s7,2.0,NR,17072018.0,empty,caseinCH,0.0,1903.0,1903.0,3.0,0.0,12.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180717-122933,!2018-07-17_12h19m.Subject PPP3.6,PPP3.6,s7,1.0,NR,17072018.0,caseinCH,empty,1645.0,0.0,1645.0,4.0,7.0,0.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180717-133615,!2018-07-17_13h01m.Subject PPP3.7,PPP3.7,s7,2.0,NR,17072018.0,empty,maltoCH,0.0,2696.0,2696.0,4.0,0.0,18.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180717-133615,!2018-07-17_13h01m.Subject PPP3.8,PPP3.8,s7,1.0,PR,17072018.0,empty,caseinCH,0.0,2886.0,2886.0,4.0,0.0,18.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180718-103339,!2018-07-18_10h19m.Subject PPP3.1,PPP3.1,s8,1.0,NR,18072018.0,caseinGR,empty,2842.0,0.0,2842.0,0.0,23.0,0.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180718-103339,!2018-07-18_10h19m.Subject PPP3.2,PPP3.2,s8,2.0,NR,18072018.0,empty,caseinGR,0.0,1489.0,1489.0,8.0,0.0,12.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180718-112246,!2018-07-18_11h05m.Subject PPP3.3,PPP3.3,s8,1.0,PR,18072018.0,caseinGR,empty,2378.0,0.0,2378.0,0.0,20.0,0.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180718-112246,!2018-07-18_11h05m.Subject PPP3.4,PPP3.4,s8,2.0,PR,18072018.0,empty,caseinGR,0.0,2750.0,2750.0,0.0,0.0,20.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180718-085620,!2018-07-18_08h18m.Subject PPP3.5,PPP3.5,s8,2.0,NR,18072018.0,maltodextrinGR,empty,4177.0,0.0,4177.0,0.0,20.0,0.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180718-085620,!2018-07-18_08h18m.Subject PPP3.6,PPP3.6,s8,1.0,NR,18072018.0,empty,maltodextrinGR,0.0,3975.0,3975.0,0.0,0.0,18.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180718-094807,!2018-07-18_09h26m.Subject PPP3.7,PPP3.7,s8,2.0,NR,18072018.0,caseinGR,empty,3077.0,0.0,3077.0,0.0,34.0,0.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180718-094807,!2018-07-18_09h25m.Subject PPP3.8,PPP3.8,s8,1.0,PR,18072018.0,maltodextrinGR,empty,2832.0,0.0,2832.0,1.0,20.0,0.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180719-102950,!2018-07-19_09h50m.Subject PPP3.1,PPP3.1,s9,1.0,NR,19072018.0,empty,maltoCH,0.0,3025.0,3025.0,1.0,0.0,20.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180719-102950,!2018-07-19_09h50m.Subject PPP3.2,PPP3.2,s9,2.0,NR,19072018.0,maltoCH,empty,3129.0,0.0,3129.0,0.0,16.0,0.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180719-091756,!2018-07-19_08h41m.Subject PPP3.3,PPP3.3,s9,1.0,PR,19072018.0,empty,maltoCH,0.0,1678.0,1678.0,6.0,0.0,14.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180719-091756,!2018-07-19_08h41m.Subject PPP3.4,PPP3.4,s9,2.0,PR,19072018.0,maltoCH,empty,3197.0,0.0,3197.0,0.0,20.0,0.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180719-115748,!2018-07-19_11h47m.Subject PPP3.5,PPP3.5,s9,2.0,NR,19072018.0,empty,caseinCH,0.0,3143.0,3143.0,0.0,0.0,19.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
